,real_price
36899,13.69
36900,12.76
36901,12.63
36902,9.75
36903,15.17
36904,19.58
36905,13.17
36906,12.6
36907,15.63
36908,7.2
36909,5.34
36910,4.02
36911,4.92
36912,0.0
36913,0.44
36914,3.8
36915,9.4
36916,6.17
36917,23.63
36918,28.21
36919,24.21
36920,9.11
36921,9.32
36922,14.16
36923,22.31
36924,22.17
36925,21.47
36926,21.31
36927,17.84
36928,17.28
36929,19.82
36930,21.44
36931,21.47
36932,24.3
36933,29.57
36934,15.74
36935,13.8
36936,13.36
36937,13.36
36938,17.4
36939,13.36
36940,13.33
36941,17.29
36942,32.72
36943,35.7
36944,35.34
36945,24.79
36946,22.71
36947,17.21
36948,14.8
36949,11.62
36950,13.73
36951,7.38
36952,12.27
36953,14.37
36954,19.76
36955,18.41
36956,14.01
36957,15.08
36958,11.51
36959,10.97
36960,13.36
36961,16.94
36962,15.11
36963,18.77
36964,14.09
36965,18.3
36966,19.64
36967,13.37
36968,23.09
36969,22.64
36970,13.91
36971,18.17
36972,9.06
36973,3.45
36974,4.14
36975,6.47
36976,12.19
36977,9.9
36978,13.35
36979,6.62
36980,6.67
36981,5.17
36982,10.36
36983,8.19
36984,10.29
36985,0.88
